review_id,review_title,product_id
R1G4SA1P865EIS,Service provider not meet my home refuse,B09F6S8BT6
R3F4T5TRYPTMIG, tv i am not using bad service,B09NHVCHS9
R3DQIEC603E7AY,Good product,B09NHVCHS9
R1O4Z15FD40PV5,Ok super,B09NHVCHS9
RDVX50PD4CTFE,Floor stand does not come with it ...,B09NHVCHS9
R3H6WKG0TA5CGU,Good,B09NHVCHS9
R3Q3L1KP5QWPV3,A budget friendly TV with a clumsy UI and Remote,B09NHVCHS9
RU0LU2PAIIME,Worked on iPhone 7 and didn’t work on XR,B09NHVCHS9
R20FTANBPFA653,Good one,B09NHVCHS9
R1EBS3566VCSCG,Dull Physical Looks,B0B1YVCJ2Y
R24MB66WRPSN2A,Just Buy it,B0B1YVCJ2Y
R25UU2M1B9BO5X,Go for it,B0B1YVCJ2Y
R1NXW7PGVND2LE,About the product,B0B1YVCJ2Y
R3OSBPH7X9AQUK,Get charging cable at the price,B0B1YVCJ2Y
R2I8RVEPDM0IMQ,Working well.,B0B1YVCJ2Y
R5RES2LABIW7Q,Wonderful TV and Awful installation service from amazon,B0B1YVCJ2Y
R3A3IRV8ZWP1U9,Acer Television Review,B0B1YVCJ2Y
R2DIHMHOPYEASB,It's a good product for that price.,B01M4GGIVU
R24RHE9B30YXWQ,Good for the price,B01M4GGIVU
R3DYXQZQA6PPHM,Almost a complete package,B01M4GGIVU
R2458DMQ9C2Z4F,Nice Product,B01M4GGIVU
R36C67830VNHAA,Good product,B01M4GGIVU
R2GE3ZI47UVVO,Super designed,B01M4GGIVU
R1XMBPKJ1QP1Q9,Cheap product and same is the performance but does the job,B01M4GGIVU
R1L6PX82T6UT6P,Good,B01M4GGIVU
R3COVVOP2R7Z28,No Box!!!,B08B42LWKN
R2T6WHEO2ONNDD,Good,B08B42LWKN
RUFFV2QR43OCM,Value for money,B08B42LWKN
R2LK4WPIHJ7WDA,A very good quality cable with rubust built,B08B42LWKN
R6IPR9FHZ5BOT, and it does the work.,B08B42LWKN
R3DU4LFGTAIEMN,Value money,B08B42LWKN
RVHHM5FW31JN1,Good product.,B08B42LWKN
R1QA870NJWIODF,Worthy and most affordable - Great TV,B08B42LWKN
R249YCZVKYR5XD,Good product,B094JNXNPV
